candidate_id,rank,score,reasoning
CAND_0081846,1,0.348167,"Matches the Senior AI Engineer requirements with 6.7 years of experience, including product deployment of Information Retrieval, Elasticsearch, Vector Search. Noida/Pune compatible context (Jaipur, Rajasthan (willing to relocate)) and 30-day availability."
CAND_0018499,2,0.345085,"Backend/ML specialist with 7.2 years of production experience. Strong engineering depth in Weaviate, Pinecone, Information Retrieval, excellent platform activity, and 15-day notice period."
CAND_0039754,3,0.337481,"Strong candidate with 16.2 years of experience and demonstrated expertise in Fine-tuning LLMs, Qdrant, OpenSearch at scale. Active profile in Indore, Madhya Pradesh (willing to relocate) with 81% response rate. Note: experience is above the 9-year mark but shows strong seniority."
CAND_0002025,4,0.314266,"Experienced Senior AI Engineer with 5.9 years of experience, showing strong hands-on expertise in FAISS, OpenSearch, Weaviate. Located in Trivandrum, Kerala with 80% platform response rate."
CAND_0099806,5,0.293633,"Matches the Senior AI Engineer requirements with 4.6 years of experience, including product deployment of LoRA, RAG, FAISS. Noida/Pune compatible context (Bhubaneswar, Odisha (willing to relocate)) and 30-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0046525,6,0.293091,"Backend/ML specialist with 6.1 years of production experience. Strong engineering depth in Elasticsearch, Information Retrieval, Qdrant, excellent platform activity, and 60-day notice period."
CAND_0068351,7,0.288188,"Strong candidate with 6.4 years of experience and demonstrated expertise in Qdrant, Elasticsearch, PEFT at scale. Active profile in Delhi, Delhi with 86% response rate."
CAND_0046064,8,0.286449,"Experienced Senior NLP Engineer with 8.9 years of experience, showing strong hands-on expertise in Python, Pinecone, OpenSearch. Located in Coimbatore, Tamil Nadu with 78% platform response rate."
CAND_0061257,9,0.276820,"Matches the Senior AI Engineer requirements with 8.0 years of experience, including product deployment of PEFT, Information Retrieval Systems, Python. Noida/Pune compatible context (Noida, Uttar Pradesh) and 30-day availability."
CAND_0086022,10,0.264722,"Backend/ML specialist with 5.3 years of production experience. Strong engineering depth in Vector Search, Fine-tuning LLMs, Elasticsearch, excellent platform activity, and 0-day notice period."
CAND_0077337,11,0.263075,"Strong candidate with 7.0 years of experience and demonstrated expertise in QLoRA, Pinecone, Information Retrieval at scale. Active profile in Kochi, Kerala (willing to relocate) with 95% response rate."
CAND_0005260,12,0.246077,"Experienced Senior NLP Engineer with 5.2 years of experience, showing strong hands-on expertise in Information Retrieval, Python, LoRA. Located in Chennai, Tamil Nadu (willing to relocate) with 86% platform response rate."
CAND_0064326,13,0.240908,"Matches the Senior AI Engineer requirements with 7.6 years of experience, including product deployment of Milvus, Weaviate, RAG. Noida/Pune compatible context (Gurgaon, Haryana) and 45-day availability."
CAND_0006418,14,0.236425,"Backend/ML specialist with 5.7 years of production experience. Strong engineering depth in Embeddings, Weaviate, Elasticsearch, excellent platform activity, and 60-day notice period."
CAND_0080766,15,0.236305,"Strong candidate with 8.8 years of experience and demonstrated expertise in LoRA, Information Retrieval Systems, Elasticsearch at scale. Active profile in Coimbatore, Tamil Nadu (willing to relocate) with 66% response rate."
CAND_0088025,16,0.217489,"Experienced Staff Machine Learning Engineer with 8.6 years of experience, showing strong hands-on expertise in Pinecone, QLoRA, RAG. Located in Jaipur, Rajasthan with 83% platform response rate. Note: notice period is 90 days."
CAND_0087364,17,0.214033,"Matches the Senior AI Engineer requirements with 4.9 years of experience, including product deployment of Qdrant, Milvus, Pinecone. Noida/Pune compatible context (Gurgaon, Haryana) and 30-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0045250,18,0.213639,"Backend/ML specialist with 6.6 years of production experience. Strong engineering depth in Milvus, LoRA, Embeddings, excellent platform activity, and 15-day notice period."
CAND_0052328,19,0.211164,"Strong candidate with 6.5 years of experience and demonstrated expertise in LoRA, OpenSearch, QLoRA at scale. Active profile in Pune, Maharashtra with 79% response rate."
CAND_0011162,20,0.208532,"Experienced Recommendation Systems Engineer with 5.8 years of experience, showing strong hands-on expertise in FAISS, Vector Search, LoRA. Located in Coimbatore, Tamil Nadu (willing to relocate) with 75% platform response rate. Note: notice period is 90 days."
CAND_0062247,21,0.206917,"Matches the Senior AI Engineer requirements with 7.3 years of experience, including product deployment of Pinecone, Vector Search, Qdrant. Noida/Pune compatible context (Kochi, Kerala (willing to relocate)) and 30-day availability."
CAND_0071974,22,0.205258,"Backend/ML specialist with 7.8 years of production experience. Strong engineering depth in LoRA, Weaviate, PEFT, excellent platform activity, and 45-day notice period."
CAND_0008425,23,0.197019,"Strong candidate with 7.8 years of experience and demonstrated expertise in Qdrant, Python, LoRA at scale. Active profile in Kolkata, West Bengal with 66% response rate. Note: notice period is 90 days."
CAND_0050454,24,0.195100,"Experienced AI Engineer with 6.8 years of experience, showing strong hands-on expertise in QLoRA, Fine-tuning LLMs, FAISS. Located in Delhi, Delhi (willing to relocate) with 77% platform response rate."
CAND_0030031,25,0.194776,"Matches the Senior AI Engineer requirements with 5.7 years of experience, including product deployment of Information Retrieval, Python, RAG. Noida/Pune compatible context (Trivandrum, Kerala) and 30-day availability."
CAND_0068811,26,0.194434,"Backend/ML specialist with 8.0 years of production experience. Strong engineering depth in Vector Search, Qdrant, Embeddings, excellent platform activity, and 30-day notice period."
CAND_0006567,27,0.193691,"Strong candidate with 7.9 years of experience and demonstrated expertise in Python at scale. Active profile in Noida, Uttar Pradesh with 79% response rate."
CAND_0041669,28,0.193438,"Experienced Recommendation Systems Engineer with 8.0 years of experience, showing strong hands-on expertise in FAISS, Milvus, PEFT. Located in Noida, Uttar Pradesh with 77% platform response rate."
CAND_0060054,29,0.193059,"Matches the Senior AI Engineer requirements with 6.4 years of experience, including product deployment of Weaviate, FAISS, Elasticsearch. Noida/Pune compatible context (Jaipur, Rajasthan (willing to relocate)) and 15-day availability."
CAND_0075574,30,0.192513,"Backend/ML specialist with 5.7 years of production experience. Strong engineering depth in Weaviate, OpenSearch, Qdrant, excellent platform activity, and 60-day notice period."
CAND_0039383,31,0.190167,"Strong candidate with 7.1 years of experience and demonstrated expertise in FAISS, QLoRA, LoRA at scale. Active profile in Gurgaon, Haryana (willing to relocate) with 61% response rate. Note: notice period is 90 days."
CAND_0036437,32,0.189332,"Experienced Search Engineer with 4.8 years of experience, showing strong hands-on expertise in OpenSearch, Elasticsearch, Milvus. Located in Kolkata, West Bengal (willing to relocate) with 87% platform response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0000031,33,0.189008,"Matches the Senior AI Engineer requirements with 6.0 years of experience, including product deployment of FAISS, Pinecone, Embeddings. Noida/Pune compatible context (Hyderabad, Telangana (willing to relocate)) and 60-day availability."
CAND_0030468,34,0.188971,"Backend/ML specialist with 5.4 years of production experience. Strong engineering depth in Information Retrieval Systems, OpenSearch, Milvus, excellent platform activity, and 45-day notice period."
CAND_0041610,35,0.188965,"Strong candidate with 6.7 years of experience and demonstrated expertise in LoRA, Elasticsearch, OpenSearch at scale. Active profile in Indore, Madhya Pradesh (willing to relocate) with 52% response rate."
CAND_0037980,36,0.184660,"Experienced Senior Applied Scientist with 9.0 years of experience, showing strong hands-on expertise in LoRA, QLoRA, Information Retrieval Systems. Located in Kolkata, West Bengal (willing to relocate) with 63% platform response rate."
CAND_0078492,37,0.178874,"Matches the Senior AI Engineer requirements with 5.1 years of experience, including product deployment of FAISS, Qdrant, PEFT. Noida/Pune compatible context (Kochi, Kerala (willing to relocate)) and 30-day availability."
CAND_0005649,38,0.172918,"Backend/ML specialist with 7.4 years of production experience. Strong engineering depth in Fine-tuning LLMs, QLoRA, Weaviate, excellent platform activity, and 90-day notice period. Note: notice period is 90 days."
CAND_0019480,39,0.172676,"Strong candidate with 2.8 years of experience and demonstrated expertise in Milvus, OpenSearch at scale. Active profile in Chennai, Tamil Nadu (willing to relocate) with 87% response rate. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0066999,40,0.170309,"Experienced Recommendation Systems Engineer with 5.9 years of experience, showing strong hands-on expertise in OpenSearch, FAISS, Pinecone. Located in Delhi, Delhi (willing to relocate) with 63% platform response rate."
CAND_0091909,41,0.166706,"Matches the Senior AI Engineer requirements with 6.9 years of experience, including product deployment of Pinecone, QLoRA, Qdrant. Noida/Pune compatible context (Bangalore, Karnataka (willing to relocate)) and 45-day availability."
CAND_0042029,42,0.165004,"Backend/ML specialist with 6.5 years of production experience. Strong engineering depth in RAG, Elasticsearch, Embeddings, excellent platform activity, and 45-day notice period."
CAND_0037000,43,0.162910,"Strong candidate with 2.7 years of experience and demonstrated expertise in Embeddings, FAISS, Pinecone at scale. Active profile in Noida, Uttar Pradesh with 61% response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0033179,44,0.162547,"Experienced AI Research Engineer with 6.9 years of experience, showing strong hands-on expertise in OpenSearch, Fine-tuning LLMs, Information Retrieval. Located in Ahmedabad, Gujarat (willing to relocate) with 84% platform response rate."
CAND_0086893,45,0.161780,"Matches the Senior AI Engineer requirements with 3.9 years of experience, including product deployment of QLoRA, OpenSearch, Elasticsearch. Noida/Pune compatible context (Bangalore, Karnataka (willing to relocate)) and 90-day availability. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0007009,46,0.161618,"Backend/ML specialist with 7.9 years of production experience. Strong engineering depth in Weaviate, Python, Embeddings, excellent platform activity, and 30-day notice period."
CAND_0083879,47,0.161586,"Strong candidate with 7.1 years of experience and demonstrated expertise in Fine-tuning LLMs, Milvus at scale. Active profile in Noida, Uttar Pradesh with 47% response rate."
CAND_0081053,48,0.161161,"Experienced NLP Engineer with 5.4 years of experience, showing strong hands-on expertise in LoRA, QLoRA, Qdrant. Located in Chandigarh, Chandigarh (willing to relocate) with 83% platform response rate. Note: notice period is 90 days."
CAND_0008239,49,0.156944,"Matches the Senior AI Engineer requirements with 4.0 years of experience, including product deployment of Milvus, Elasticsearch, Weaviate. Noida/Pune compatible context (Jaipur, Rajasthan (willing to relocate)) and 15-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0010685,50,0.155935,"Backend/ML specialist with 6.7 years of production experience. Strong engineering depth in Information Retrieval, Elasticsearch, RAG, excellent platform activity, and 30-day notice period."
CAND_0043860,51,0.155840,"Strong candidate with 6.1 years of experience and demonstrated expertise in Information Retrieval, Qdrant, Vector Search at scale. Active profile in Bhubaneswar, Odisha (willing to relocate) with 81% response rate."
CAND_0005538,52,0.155183,"Experienced Senior AI Engineer with 5.9 years of experience, showing strong hands-on expertise in QLoRA, Python, LoRA. Located in Kolkata, West Bengal with 81% platform response rate. Note: notice period is 90 days."
CAND_0027691,53,0.154517,"Matches the Senior AI Engineer requirements with 6.5 years of experience, including product deployment of LoRA, PEFT, Weaviate. Noida/Pune compatible context (Pune, Maharashtra) and 15-day availability."
CAND_0022812,54,0.154228,"Backend/ML specialist with 4.5 years of production experience. Strong engineering depth in Weaviate, Pinecone, LoRA, excellent platform activity, and 60-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0010149,55,0.153967,"Strong candidate with 6.9 years of experience and demonstrated expertise in Milvus, Vector Search, PEFT at scale. Active profile in Bangalore, Karnataka (willing to relocate) with 82% response rate. Note: notice period is 90 days."
CAND_0018549,56,0.153872,"Experienced Recommendation Systems Engineer with 6.8 years of experience, showing strong hands-on expertise in Weaviate, Elasticsearch, Qdrant. Located in Coimbatore, Tamil Nadu (willing to relocate) with 73% platform response rate."
CAND_0079284,57,0.153751,"Matches the Senior AI Engineer requirements with 4.9 years of experience, including product deployment of QLoRA, Qdrant, Fine-tuning LLMs. Noida/Pune compatible context (Hyderabad, Telangana) and 30-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0067866,58,0.153475,"Backend/ML specialist with 6.4 years of production experience. Strong engineering depth in Embeddings, Elasticsearch, LoRA, excellent platform activity, and 45-day notice period."
CAND_0052682,59,0.152341,"Strong candidate with 6.6 years of experience and demonstrated expertise in QLoRA, FAISS, Python at scale. Active profile in Vizag, Andhra Pradesh with 88% response rate."
CAND_0025640,60,0.152142,"Experienced AI Research Engineer with 5.6 years of experience, showing strong hands-on expertise in PEFT, Information Retrieval, FAISS. Located in Jaipur, Rajasthan with 87% platform response rate."
CAND_0013536,61,0.152008,"Matches the Senior AI Engineer requirements with 14.1 years of experience, including product deployment of Embeddings, QLoRA, Pinecone. Noida/Pune compatible context (Trivandrum, Kerala) and 90-day availability. Note: notice period is 90 days and experience is above the 9-year mark but shows strong seniority."
CAND_0001610,62,0.151897,"Backend/ML specialist with 3.0 years of production experience. Strong engineering depth in Pinecone, Fine-tuning LLMs, Milvus, excellent platform activity, and 90-day notice period. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0053605,63,0.151678,"Strong candidate with 6.9 years of experience and demonstrated expertise in RAG at scale. Active profile in Noida, Uttar Pradesh with 88% response rate."
CAND_0044222,64,0.151503,"Experienced AI Engineer with 7.7 years of experience, showing strong hands-on expertise in Vector Search, OpenSearch, Qdrant. Located in Vizag, Andhra Pradesh with 60% platform response rate."
CAND_0093912,65,0.151498,"Matches the Senior AI Engineer requirements with 5.3 years of experience, including product deployment of Milvus, Embeddings, Vector Search. Noida/Pune compatible context (Chandigarh, Chandigarh) and 30-day availability."
CAND_0064270,66,0.150746,"Backend/ML specialist with 4.2 years of production experience. Strong engineering depth in Embeddings, OpenSearch, Elasticsearch, excellent platform activity, and 45-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0079387,67,0.150438,"Strong candidate with 6.9 years of experience and demonstrated expertise in Python, Vector Search, OpenSearch at scale. Active profile in Trivandrum, Kerala with 81% response rate."
CAND_0039838,68,0.150026,"Experienced Recommendation Systems Engineer with 4.9 years of experience, showing strong hands-on expertise in Embeddings, LoRA, RAG. Located in Kochi, Kerala with 80% platform response rate. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0026532,69,0.149632,"Matches the Senior AI Engineer requirements with 4.8 years of experience, including product deployment of LoRA, PEFT, Embeddings. Noida/Pune compatible context (Chennai, Tamil Nadu (willing to relocate)) and 90-day availability. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0054394,70,0.149503,"Backend/ML specialist with 4.1 years of production experience. Strong engineering depth in Fine-tuning LLMs, Embeddings, Pinecone, excellent platform activity, and 30-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0030348,71,0.149259,"Strong candidate with 4.5 years of experience and demonstrated expertise in Embeddings, Vector Search, Elasticsearch at scale. Active profile in Noida, Uttar Pradesh with 54% response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0057563,72,0.146422,"Experienced NLP Engineer with 6.8 years of experience, showing strong hands-on expertise in RAG, Elasticsearch, OpenSearch. Located in Indore, Madhya Pradesh (willing to relocate) with 83% platform response rate."
CAND_0009837,73,0.145967,"Matches the Senior AI Engineer requirements with 4.3 years of experience, including product deployment of QLoRA, Python, FAISS. Noida/Pune compatible context (Noida, Uttar Pradesh) and 60-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0069638,74,0.144067,"Backend/ML specialist with 6.2 years of production experience. Strong engineering depth in Fine-tuning LLMs, PEFT, Pinecone, excellent platform activity, and 30-day notice period."
CAND_0048558,75,0.143044,"Strong candidate with 6.7 years of experience and demonstrated expertise in Information Retrieval, OpenSearch, Qdrant at scale. Active profile in Noida, Uttar Pradesh with 80% response rate."
CAND_0010257,76,0.141715,"Experienced Senior Data Scientist with 6.5 years of experience, showing strong hands-on expertise in Milvus, Python, OpenSearch. Located in Noida, Uttar Pradesh with 72% platform response rate. Note: notice period is 120 days."
CAND_0095619,77,0.138199,"Matches the Senior AI Engineer requirements with 15.6 years of experience, including product deployment of Pinecone, Weaviate, Information Retrieval. Noida/Pune compatible context (Mumbai, Maharashtra) and 30-day availability. Note: experience is above the 9-year mark but shows strong seniority."
CAND_0080534,78,0.137394,"Backend/ML specialist with 3.8 years of production experience. Strong engineering depth in Elasticsearch, OpenSearch, Fine-tuning LLMs, excellent platform activity, and 30-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0051004,79,0.137285,"Strong candidate with 4.7 years of experience and demonstrated expertise in Embeddings, Qdrant, PEFT at scale. Active profile in Delhi, Delhi (willing to relocate) with 41% response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0044262,80,0.135288,"Experienced Data Scientist with 6.9 years of experience, showing strong hands-on expertise in Python, OpenSearch, Weaviate. Located in Trivandrum, Kerala (willing to relocate) with 73% platform response rate. Note: notice period is 90 days."
CAND_0020708,81,0.135081,"Matches the Senior AI Engineer requirements with 4.2 years of experience, including product deployment of Python, Elasticsearch, Fine-tuning LLMs. Noida/Pune compatible context (Indore, Madhya Pradesh) and 30-day availability. Note: experience is slightly below the 5-9 years preference."
CAND_0083852,82,0.133532,"Backend/ML specialist with 6.0 years of production experience. Strong engineering depth in Qdrant, QLoRA, Pinecone, excellent platform activity, and 90-day notice period. Note: notice period is 90 days."
CAND_0054123,83,0.132908,"Strong candidate with 4.7 years of experience and demonstrated expertise in Python, Weaviate, Qdrant at scale. Active profile in Gurgaon, Haryana with 87% response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0076831,84,0.131981,"Experienced Search Engineer with 4.0 years of experience, showing strong hands-on expertise in Milvus, Weaviate, Fine-tuning LLMs. Located in Delhi, Delhi (willing to relocate) with 50% platform response rate. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0037566,85,0.131614,"Matches the Senior AI Engineer requirements with 6.9 years of experience, including product deployment of Pinecone, LoRA, QLoRA. Noida/Pune compatible context (Bangalore, Karnataka (willing to relocate)) and 15-day availability."
CAND_0074225,86,0.130958,"Backend/ML specialist with 4.3 years of production experience. Strong engineering depth in Elasticsearch, Milvus, Python, excellent platform activity, and 120-day notice period. Note: notice period is 120 days and experience is slightly below the 5-9 years preference."
CAND_0081852,87,0.129997,"Strong candidate with 5.9 years of experience and demonstrated expertise in Milvus, Weaviate, Vector Search at scale. Active profile in Delhi, Delhi (willing to relocate) with 44% response rate."
CAND_0007596,88,0.129282,"Experienced Junior ML Engineer with 4.4 years of experience, showing strong hands-on expertise in Python, Weaviate, Vector Search. Located in Delhi, Delhi with 86% platform response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0040117,89,0.129061,"Matches the Senior AI Engineer requirements with 6.5 years of experience, including product deployment of Embeddings, RAG, FAISS. Noida/Pune compatible context (Vizag, Andhra Pradesh) and 15-day availability."
CAND_0025882,90,0.128554,"Backend/ML specialist with 5.6 years of production experience. Strong engineering depth in FAISS, Vector Search, LoRA, excellent platform activity, and 45-day notice period."
CAND_0040178,91,0.125358,"Strong candidate with 5.0 years of experience and demonstrated expertise in Weaviate, Fine-tuning LLMs, Vector Search at scale. Active profile in Pune, Maharashtra with 55% response rate."
CAND_0030784,92,0.124028,"Experienced Data Scientist with 4.4 years of experience, showing strong hands-on expertise in Embeddings, RAG, Pinecone. Located in Delhi, Delhi with 90% platform response rate. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0064904,93,0.123290,"Matches the Senior AI Engineer requirements with 4.9 years of experience, including product deployment of Embeddings, Elasticsearch, Python. Noida/Pune compatible context (Hyderabad, Telangana) and 90-day availability. Note: notice period is 90 days and experience is slightly below the 5-9 years preference."
CAND_0043381,94,0.123242,"Backend/ML specialist with 3.6 years of production experience. Strong engineering depth in OpenSearch, Pinecone, excellent platform activity, and 45-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0042506,95,0.123216,"Strong candidate with 4.2 years of experience and demonstrated expertise in PEFT, Fine-tuning LLMs, Information Retrieval at scale. Active profile in Mumbai, Maharashtra with 48% response rate. Note: experience is slightly below the 5-9 years preference."
CAND_0095528,96,0.123124,"Experienced Senior Data Scientist with 5.3 years of experience, showing strong hands-on expertise in OpenSearch, Vector Search, Qdrant. Located in Indore, Madhya Pradesh with 55% platform response rate."
CAND_0036184,97,0.122893,"Matches the Senior AI Engineer requirements with 6.0 years of experience, including product deployment of QLoRA, FAISS, Embeddings. Noida/Pune compatible context (Trivandrum, Kerala) and 30-day availability."
CAND_0016659,98,0.122549,"Backend/ML specialist with 4.4 years of production experience. Strong engineering depth in Pinecone, PEFT, FAISS, excellent platform activity, and 45-day notice period. Note: experience is slightly below the 5-9 years preference."
CAND_0066376,99,0.122019,"Strong candidate with 5.7 years of experience and demonstrated expertise in LoRA, Fine-tuning LLMs, Information Retrieval at scale. Active profile in Mumbai, Maharashtra with 51% response rate. Note: notice period is 90 days."
CAND_0087630,100,0.121579,"Experienced AI Engineer with 7.2 years of experience, showing strong hands-on expertise in Elasticsearch, QLoRA, Embeddings. Located in Gurgaon, Haryana (willing to relocate) with 45% platform response rate."
